newsID,title,label,sentenceNo,sentenceContent,sentenceSize
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,1,"■ 진행 : 성문규 앵커, 이은솔 앵커 ■ 출연 : 윤희석 전 국민의힘 대변인, 성치훈 더불어민주당 정책위 부의장 * 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송으로 확인하시기 바랍니다.",124
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,2,인용 시 [YTN 뉴스특보] 명시해주시기 바랍니다.,28
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,3,[앵커] 이렇게 법원이 윤석열 대통령 측이 낸 구속취소 청구를 오늘 인용했습니다.,45
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,4,선고를 남겨둔 탄핵심판에 얼마나 영향을끼칠지 주목되고 있습니다.,35
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,5,오늘은 윤희석 전 국민의힘 대변인 그리고 성치훈 민주당 정책위 부의장과 함께하겠습니다.어서 오십시오.,56
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,6,오늘 서울중앙지법이 윤 대통령에 대한 구속취소 결정을 내렸습니다.,36
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,7,구금된 지 51일 만이었고요.,16
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,8,"구속기소가 된 지는 40일 만이었는데 오늘 법원의 판단 의미를 한번 짚어봤으면 좋겠는데 어떻게 윤 대변인께서는 예상하셨는지요, 오늘 이 판단을?",80
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,9,[윤희석] 개인적으로 전혀 예상을 못했습니다.,25
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,10,일단 날짜 계산부터 법원은 사유를 들었잖아요.,25
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,11,솔직히 검찰 물론 공수처도 관계돼 있기는 하지만 수많은 구속영장을 처리하고 구속기간 계산을 정말 너무 했을 텐데 그 관례에 벗어나는 계산을 해서 기소를 했다?,88
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,12,이렇게는 아무도 믿지 않았을 겁니다.,20
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,13,[앵커] 관례에 벗어났다는 건 그동안 날짜 단위로 해 왔는데.,34
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,14,"[윤희석] 해 온 대로 그냥 했을 거다, 계산을.",27
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,15,그 계산을 틀려서 법원에 기소했다?,19
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,16,"글쎄요, 법원에서는 날이 아니라 시간으로 하는 게 맞다.",31
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,17,그런 판단을 내린 건데.,13
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,18,그 부분에 대해서는 아무도 예상을 못했다고 보고 제가 중점적으로 본 건 날로 계산한다 할지라도 하면서 나온 사유들이 있지 않습니까?,73
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,19,윤 대통령 측에서 주장했던 절차상의 문제에 대해서 쭉 설시를 했어요.,38
LC_M09_2025-03-05_대통령 복귀 선고 언제_001,"[뉴스NIGHT] 윤 대통령 구속 취소...""사필귀정"" vs ""즉시 항고""",정치,20,그다음에 이렇게 될 경우에는 상급심에서 파기할 수도 있다.,32
