newsID,title,label,sentenceNo,sentenceContent,sentenceSize
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,1,"세종 수도 이전, 참여정부 시절 위헌으로 무산…22년 만에 재추진 논의 중도 확장 전략 펼치는 李, 대선 '캐스팅보트' 충청권 잡을 핵심 카드 될까 더불어민주당 이재명 전 대표가 10일 영상 메시지를 통해 대선 출마의 각오와 의지를 밝혔다.",134
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,2,ⓒ연합뉴스 이재명 전 더불어민주당 대표가 과거 참여정부 시절 추진됐으나 위헌 논란으로 무산됐던 세종특별자치시 행정수도 이전 추진 카드를 다시금 꺼내들었다.,86
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,3,이는 조기대선 정국에서 유력 대권 주자인 이 전 대표의 핵심 공약이 될 것으로 예상된다.,49
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,4,노무현 전 대통령의 정치적 과업을 이어받아 지역균형발전 비전을 내세우고 충청권 표심을 잡겠다는 의도로 풀이된다.,62
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,5,"10일 정치권에 따르면, 민주당은 이르면 4월 내에 세종시를 신행정수도로 정하는 내용이 골자인 '신행정수도법(신행정수도 건설을 위한 특별조치법)'을 발의할 예정이다.",92
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,6,입법은 충청도에 지역구를 두고 있는 의원들이 주도하고 있는 것으로 알려졌다.,42
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,7,지난달 이 전 대표는 같은 당의 강준현 의원(세종 을)과 복기왕 의원(충남 아산갑) 등으로부터 '참여정부가 추진했던 수도 이전 계획 재추진' 관련 검토 보고서를 받았다.,94
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,8,"강 의원은 시사저널과의 통화에서 ""노무현 정부의 의지를 이어 대통령실은 2028년까지 세종시에 건설될 예정인 '대통령 제2집무실'로, 국회는 '국회 세종의사당'으로 완전 이전하는 것이 중장기적인 핵심 목표""라고 설명했다.",123
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,9,"강 의원은 ""세종을 행정수도로 만들어 수도권 1극 체제를 극복하고 서울은 뉴욕처럼 경제 수도로서의 역할을 하도록 기능을 업그레이드하겠다""는 청사진도 언급했다.",88
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,10,"다만 이 전 대표가 당선된다면 법안이 현실화되기 전까지 단기로 쓸 대통령 집무실 위치에 대해서는 ""아직 (당내에서) 정책적으로 결정된 것은 없다""고 했다.",86
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,11,세종 수도 이전은 이 전 대표의 핵심 과업 중 하나이다.,31
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,12,"이 전 대표는 지난 2월 당 회의에서 ""국가균형발전과 수도권 초과밀 및 지방소멸 위기 해소를 위해 대통령실은 물론 국회의사당도 속히 세종시로 이전해야 한다""고 강조했다.",94
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,13,지난 20대 대선에서도 '세종특별시 행정 수도 이전' 공략을 한 전력이 있다.,43
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,14,윤석열 전 대통령 파면으로 조기대선이 치러지는 만큼 추후 대통령 당선 시 용산으로 복귀하는 것을 꺼리는 민주당의 심리도 수도 이전 논의가 탄력을 받는 이유 중 하나이다.,94
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,15,일각에선 이 전 대표가 중도 확장 전략의 일환으로 역대 '대선 바로미터'라 불리는 충청권 유권자의 표심을 얻기 위한 행보란 분석도 나온다.,77
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,16,충청권은 14대 대선부터 진영논리나 지역감정에 치우치지 않고 '캐스팅보트' 역할을 톡톡히 해온 지역이다.,58
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,17,"이 전 대표는 지난 20대 대선 충청권 득표율에서 세종을 제외한 대전, 충남, 충북에서 고배를 마셨다.",57
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,18,다만 최근 치러진 4·2 재보궐 선거에서는 충남 아산시장 자리에 오세현 민주당 후보가 57.52%를 득표해 당선됐다.,65
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,19,전만권 국민의힘 후보는 39.92% 득표에 그쳤다.,28
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,20,이 같은 여세를 몰아 이번 수도 이전 이슈를 부각시키며 '충청권 민심 굳히기'에 돌입할 것으로 보인다.,57
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,21,과거 참여정부가 추진했던 세종 수도 이전 계획이 위헌 논란으로 무산됐던 만큼 이번 민주당 안이 개헌 시비를 어떻게 헤쳐나갈 수 있을지가 관전 포인트다.,84
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,22,앞서 노무현 정부는 2003년 국토균형발전을 위해 현 세종특별시에 청와대와 정부부처를 이전하는 신행정수도법을 추진했다.,66
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,23,"하지만 추진 도중 서울특별시 소속 공무원, 시의회 의원, 국민들이 행정 수도 이전은 국민투표권, 납세자의 권리, 재산권 등을 침해한다는 헌법소원 심판을 청구했다.",90
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,24,당시 헌법재판소는 2004년 10월 '관습헌법'을 근거로 위헌 결정을 내렸다.,43
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,25,"관습헌법에 따르면 대한민국의 수도는 서울이고, 따라서 수도 이전 문제는 국민투표를 통한 헌법개정 사안이지 입법을 통해 다룰 수 있는 사안이 아니란 것이다.",86
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,26,일각에선 헌재가 22년 전과 달리 위헌 결정을 하지 않을 것이란 전망도 있다.,43
LC_M09_2025-04-10_대통령 청와대 복귀_14,"'盧 의지' '충청 표심' '균형발전'…이재명, '수도 세종' 띄워 세 마리 ...",경제,27,시대 상황이 변함에 따라 국민들 사이에 세종특별시가 행정 수도라는 인식이 자리 잡았다고 보는 것이다.,56
