newsID,title,label,sentenceNo,sentenceContent,sentenceSize
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,1,“전 세계스카우트들과 멋진 추억을 만드시길 바랍니다.” 2023년 8월 2일 새만금 세계스카우트 잼버리 개영식에 참석했던 윤석열 전 대통령의 일성이다.,84
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,2,"글로벌 이벤트를 성공적으로 개최, 한국의 위상을 높이려던 애초 기대와는 달리 대회 첫날부터 온열 질환자가 속출했다.",64
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,3,밀려드는 환자로 잼버리 야영장은 흡사 난민촌을 방불케 했다.,33
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,4,부실한 폭염 대비와 위생 상태로 전 세계인의 조롱거리가 됐다.,34
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,5,대회 운영이 얼마나 부실했으면 한덕수 국무총리가 화장실 청소를 직접 챙기는 ‘웃픈’ 상황까지 연출했을까 싶다.,61
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,6,이후 새만금 잼버리는 K팝 스타들의 서울월드컵경기장 콘서트를 끝으로 막을 내렸다.,45
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,7,국제적 망신만 초래했다는 비판여론을 무마하려 K팝 스타들을 동원한 것 아니냐는 의혹이 불거졌다.,53
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,8,콘서트 이후 서울월드컵경기장은 이른바 ‘논두렁 잔디’ 논란까지 낳았다.,39
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,9,"이 무렵 이라크와의 축구대표팀 A매치는 콘서트로 훼손된 잔디 탓에 용인미르스타디움에서 열렸고, 축구대표팀 주장 손흥민은 “홈에서 경기할 때 (잔디가) 개선이 됐으면 좋겠다”며 아쉬움을 표시했다.",108
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,10,당시 전라북도와 지역 정치권은 잼버리 파행이 “준비 소홀과 예산의 부적정 집행 등 여성가족부의 총체적 부실 탓”이라고 주장했다.,71
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,11,반면 정부는 “부지 선정부터 잘못됐다”며 행사를 유치한 전북도에 책임을 전가했다.,45
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,12,이와 관련해 세계스카우트연맹은 지난해 ‘제25회 세계스카우트잼버리 보고서’를 통해 한국 정부의 과도한 개입이 많은 문제를 초래했다고 발표했다.,79
LC_M09_2025-04-10_월드컵_001,[설왕설래] 충격적인 새만금 잼버리 감사 결과,경제,13,감사에 착수한 지 1년6개월여 만에 감사원이 어제 새만금 세계스카우트잼버리 추진실태 감사 결과를 공개했다.,59
